Log Number,Local Time,Elapsed Time,Value
195,23:04:24,00:05.5,Distance in cm : 371.82       
196,23:04:24,00:05.5,Distance in cm : 373.92       
197,23:04:24,00:05.5,Distance in cm : 371.81       
198,23:04:24,00:05.6,Distance in cm : 371.47       
199,23:04:24,00:05.6,Distance in cm : 371.37       
200,23:04:24,00:05.6,Distance in cm : 371.40       
201,23:04:24,00:05.6,Distance in cm : 371.91       
202,23:04:24,00:05.7,Distance in cm : 372.66       
203,23:04:24,00:05.7,Distance in cm : 371.81       
204,23:04:24,00:05.7,Distance in cm : 372.22       
205,23:04:24,00:05.8,Distance in cm : 372.23       
206,23:04:24,00:05.8,Distance in cm : 372.71       
207,23:04:24,00:05.8,Distance in cm : 373.07       
208,23:04:24,00:05.8,Distance in cm : 371.76       
209,23:04:24,00:05.9,Distance in cm : 372.27       
210,23:04:24,00:05.9,Distance in cm : 372.20       
211,23:04:24,00:05.9,Distance in cm : 372.28       
212,23:04:24,00:05.9,Distance in cm : 373.05       
213,23:04:24,00:06.0,Distance in cm : 374.29       
214,23:04:24,00:06.0,Distance in cm : 374.31       
215,23:04:24,00:06.0,Distance in cm : 1179.55      
216,23:04:24,00:06.0,Distance in cm : 374.24       
217,23:04:24,00:06.1,Distance in cm : 1184.61      
218,23:04:24,00:06.1,Distance in cm : 372.90       
219,23:04:24,00:06.2,Distance in cm : 1184.70      
220,23:04:24,00:06.3,Distance in cm : 1184.75      
221,23:04:24,00:06.4,Distance in cm : 1184.90      
222,23:04:24,00:06.4,Distance in cm : 1184.85      
223,23:04:25,00:06.5,Distance in cm : 1184.76      
224,23:04:25,00:06.5,Distance in cm : 374.68       
225,23:04:25,00:06.6,Distance in cm : 1184.59      
226,23:04:25,00:06.7,Distance in cm : 1184.83      
227,23:04:25,00:06.7,Distance in cm : 373.32       
228,23:04:25,00:06.7,Distance in cm : 371.64       
229,23:04:25,00:06.8,Distance in cm : 372.30       
230,23:04:25,00:06.8,Distance in cm : 372.50       
231,23:04:25,00:06.8,Distance in cm : 373.34       
232,23:04:25,00:06.8,Distance in cm : 372.08       
233,23:04:25,00:06.9,Distance in cm : 371.35       
234,23:04:25,00:06.9,Distance in cm : 371.45       
235,23:04:25,00:06.9,Distance in cm : 372.66       
236,23:04:25,00:06.9,Distance in cm : 371.33       
237,23:04:25,00:07.0,Distance in cm : 371.45       
238,23:04:25,00:07.0,Distance in cm : 371.50       
239,23:04:25,00:07.0,Distance in cm : 370.96       
240,23:04:25,00:07.0,Distance in cm : 370.96       
241,23:04:25,00:07.1,Distance in cm : 371.50       
242,23:04:25,00:07.1,Distance in cm : 371.82       
243,23:04:25,00:07.1,Distance in cm : 371.40       
244,23:04:25,00:07.1,Distance in cm : 372.35       
245,23:04:25,00:07.2,Distance in cm : 370.97       
246,23:04:25,00:07.2,Distance in cm : 370.96       
247,23:04:25,00:07.2,Distance in cm : 373.90       
248,23:04:25,00:07.3,Distance in cm : 372.67       
249,23:04:25,00:07.3,Distance in cm : 371.93       
250,23:04:25,00:07.3,Distance in cm : 372.66       
251,23:04:25,00:07.3,Distance in cm : 373.08       
252,23:04:25,00:07.4,Distance in cm : 374.02       
253,23:04:25,00:07.4,Distance in cm : 371.37       
254,23:04:25,00:07.4,Distance in cm : 373.51       
255,23:04:25,00:07.4,Distance in cm : 372.66       
256,23:04:26,00:07.5,Distance in cm : 372.22       
257,23:04:26,00:07.5,Distance in cm : 371.89       
258,23:04:26,00:07.5,Distance in cm : 371.76       
259,23:04:26,00:07.5,Distance in cm : 374.31       
260,23:04:26,00:07.6,Distance in cm : 374.68       
Error: Port disconnected,,,
